area,population,avg_income,crime_rate,pollution_index,literacy_rate,area_sq_km,population_density
Laxmi Nagar,157748,178859,44.4,37.6,95.12,26.93,5856.8
Sangam Vihar,299334,68827,38.4,21.12,81.69,30.82,9711.93
Nehru Place,304509,112740,58.22,90.78,73.06,32.16,9468.79
Okhla,142839,98899,27.81,28.66,89.92,24.77,5765.93
Uttam Nagar,225644,59526,19.4,47.48,96.32,17.64,12793.69
Mayur Vihar,165683,189580,29.06,34.32,71.79,9.97,16617.4
Lajpat Nagar,125804,109727,91.74,47.93,71.39,19.14,6573.95
Vivek Vihar,114848,159179,54.4,20.86,72.07,10.38,11063.83
Saket,51371,51528,24.35,69.73,92.53,1.01,50918.67
Malviya Nagar,153374,41021,41.21,36.19,82.49,11.45,13390.66
Lajpat Nagar,158179,165844,58.94,90.05,81.78,12.67,12481.0
Shahdara,461431,44196,94.07,22.28,76.04,18.57,24853.85
Karkardooma,463427,173449,80.51,46.87,91.5,20.07,23092.99
Vivek Vihar,423025,61986,94.37,75.8,82.39,22.08,19155.79
Connaught Place,355507,139498,81.19,36.93,86.19,17.9,19864.9
Chandni Chowk,75546,128037,6.13,59.74,76.31,23.48,3217.4
Laxmi Nagar,440688,29583,91.79,89.83,88.44,30.66,14371.97
Saket,478835,189472,84.07,55.32,90.85,10.41,45985.06
Malviya Nagar,467279,110630,13.93,73.31,84.55,5.03,92901.32
Okhla,287840,159309,24.98,26.58,94.19,3.09,93082.0
Mukherjee Nagar,378917,144770,76.89,56.42,70.92,25.66,14767.56
Lajpat Nagar,98356,139467,84.53,85.89,83.4,27.7,3550.49
Shalimar Bagh,139395,129227,85.11,20.56,72.57,19.73,7065.48
Connaught Place,339866,103155,23.08,41.12,77.67,5.86,58041.9
Shalimar Bagh,304740,121906,80.9,40.57,88.65,13.22,23052.82
Civil Lines,469664,189716,49.91,20.67,87.3,25.39,18494.48
Pitampura,379063,194810,39.02,32.9,87.59,1.35,280205.48
Paharganj,50232,54403,37.66,23.2,87.02,15.46,3249.19
Uttam Nagar,33710,129523,10.7,48.31,91.48,11.42,2952.44
Model Town,64904,153272,70.44,24.25,93.53,5.02,12918.46
Mukherjee Nagar,104404,54661,65.21,63.29,76.4,6.05,17262.55
Okhla,459996,96364,19.79,57.26,86.76,32.13,14316.03
Vasant Kunj,330177,24889,40.49,66.68,87.58,7.63,43273.08
Vasant Kunj,156366,171954,73.02,94.94,71.71,4.47,35008.89
Shahdara,25176,106350,85.79,76.24,84.93,7.82,3220.92
Karkardooma,138008,73208,37.94,32.68,96.17,6.79,20338.89
Okhla,105982,52593,33.87,32.29,80.48,29.54,3587.16
Saket,156292,171037,38.77,34.6,75.59,5.36,29157.84
Hauz Khas,450470,131596,81.11,24.77,86.21,20.94,21512.43
Karol Bagh,363582,125005,5.55,55.7,85.66,2.29,158924.42
Lajpat Nagar,292182,137599,79.75,38.79,84.04,28.93,10097.9
Green Park,434477,102554,11.44,24.39,86.22,25.57,16993.19
Hauz Khas,409277,38910,47.09,75.07,76.73,34.83,11750.76
Pitampura,21483,47858,7.63,64.76,93.34,32.62,658.51
Mukherjee Nagar,155083,100707,9.15,54.08,76.48,1.2,129373.01
Uttam Nagar,491934,149300,60.68,68.03,85.99,22.96,21428.7
Patel Nagar,251541,174222,52.75,59.35,80.8,13.01,19337.5
Punjabi Bagh,189664,173967,23.66,77.55,80.57,27.2,6973.01
Tilak Nagar,462215,63925,75.9,24.21,85.5,32.67,14148.48
Sangam Vihar,483925,97859,33.15,60.73,76.57,34.38,14075.92
Karol Bagh,112012,39106,15.49,44.78,91.36,1.43,78260.11
Okhla,46182,119568,67.35,83.57,97.75,9.92,4655.72
Dwarka,394627,134395,83.62,46.71,91.45,26.13,15100.35
Mukherjee Nagar,223050,135133,30.71,82.76,71.36,1.61,138331.67
Okhla,192203,66918,94.79,20.7,84.58,27.82,6908.63
Hauz Khas,355858,136372,83.46,46.24,72.06,12.95,27477.89
Malviya Nagar,449507,114345,53.42,68.02,83.07,16.96,26508.33
Civil Lines,361959,48733,35.44,23.47,73.67,12.26,29532.99
Tilak Nagar,419819,151042,85.36,60.24,75.45,12.14,34573.63
Pitampura,466910,100086,61.57,68.93,77.65,27.25,17131.66
Uttam Nagar,237196,101528,31.6,31.97,72.89,9.89,23975.16
Chandni Chowk,359228,121200,16.25,66.02,87.24,12.39,28998.12
Laxmi Nagar,142456,158167,88.14,25.75,93.56,30.85,4618.07
Laxmi Nagar,90854,79231,70.8,33.03,70.52,28.85,3149.01
Dwarka,243008,71662,28.1,35.62,83.92,24.23,10029.52
Tilak Nagar,363085,22654,21.84,47.02,84.92,16.84,21557.11
Chandni Chowk,436565,154066,42.32,38.69,73.26,17.91,24374.61
Kamla Nagar,230012,111231,26.63,46.74,95.47,15.96,14411.58
Uttam Nagar,469277,22820,42.03,94.49,97.91,5.25,89308.57
Patel Nagar,322800,196056,53.5,49.08,85.56,6.83,47288.45
Hauz Khas,477058,62791,5.84,91.22,93.55,1.88,253121.8
Shahdara,309538,198522,92.57,51.02,86.87,33.4,9267.18
Hauz Khas,460860,170476,79.33,70.34,71.94,30.69,15017.22
Uttam Nagar,490746,190972,52.69,85.24,89.96,10.48,46808.01
Kamla Nagar,258643,44352,53.55,25.92,79.48,15.07,17160.1
Mayur Vihar,458427,125268,53.77,93.55,75.86,21.56,21263.04
Saket,158045,105311,86.56,23.81,82.5,34.89,4529.4
Rohini,170818,172910,89.34,23.55,76.53,16.66,10251.32
Karol Bagh,325490,181400,7.79,75.73,96.45,24.5,13286.74
Malviya Nagar,70091,177839,24.82,91.32,73.78,23.12,3031.9
Karkardooma,104740,143674,84.68,91.72,90.69,15.58,6724.12
Vasant Kunj,22530,139100,70.88,48.58,80.55,12.75,1767.58
Vivek Vihar,402284,68544,23.05,47.4,94.21,19.82,20301.21
Rohini,303508,84260,79.35,27.65,92.23,11.71,25909.1
Greater Kailash,127913,96773,9.01,68.49,84.39,33.27,3845.16
Dwarka,360214,128614,69.7,36.12,76.69,17.28,20847.97
Okhla,392796,181356,60.18,64.99,82.71,11.41,34424.9
Vikaspuri,54364,78040,87.14,66.95,97.87,27.31,1990.78
Rajendra Place,153136,151084,6.37,79.75,79.73,33.98,4506.14
Model Town,180320,168117,10.69,59.56,87.27,2.34,77131.34
Civil Lines,456709,82712,71.07,34.86,74.31,9.39,48654.17
Mayur Vihar,150248,100605,49.62,66.92,88.01,16.1,9330.97
Mayur Vihar,498004,54867,35.86,30.63,97.14,2.87,173245.64
Mayur Vihar,432237,166503,65.62,78.54,90.45,6.82,63356.22
Rohini,462702,121266,94.13,50.72,72.54,24.21,19110.14
Laxmi Nagar,442513,122161,33.81,57.17,94.52,15.49,28576.63
Shalimar Bagh,229195,121879,59.76,85.68,76.13,2.36,97112.37
Kamla Nagar,422182,46339,40.27,30.63,85.65,12.08,34950.48
Connaught Place,487562,104764,73.1,28.0,71.56,3.53,138121.3
Laxmi Nagar,41635,41205,75.07,48.3,84.91,19.69,2114.97
Connaught Place,283167,84645,27.52,41.94,71.51,32.72,8653.74
Vikaspuri,347380,99720,28.17,80.45,95.34,8.49,40907.54
Karol Bagh,333917,151411,74.41,39.81,96.99,33.52,9962.3
Green Park,363192,68849,77.78,83.69,78.8,26.68,13612.5
Preet Vihar,384458,32423,14.93,54.33,93.5,13.64,28185.89
Mayur Vihar,119339,99913,9.2,57.48,83.85,18.14,6580.56
Dwarka,199072,156390,72.18,69.92,77.71,19.86,10021.96
Chandni Chowk,269254,144598,30.54,53.04,86.53,17.45,15431.16
Okhla,154309,87815,86.0,45.39,75.49,21.07,7322.64
Mukherjee Nagar,336628,183584,36.37,30.99,83.79,33.13,10160.02
Dilshad Garden,208517,70311,64.58,79.28,80.47,11.91,17503.99
Paschim Vihar,138642,109741,9.17,24.01,70.99,24.99,5548.05
Dwarka,124038,115168,30.68,48.35,88.26,33.5,3702.89
Saket,86847,153169,24.86,47.01,73.95,32.19,2697.76
Tilak Nagar,384006,75007,21.87,75.29,80.92,28.21,13614.23
Mukherjee Nagar,133918,144980,81.76,45.65,83.28,17.07,7845.96
Jasola,27998,91890,9.79,44.6,77.13,19.16,1461.58
Punjabi Bagh,135320,135481,47.22,46.01,88.21,10.94,12366.19
Vivek Vihar,371254,165493,49.12,92.48,71.14,31.7,11712.56
Okhla,36726,131204,29.85,62.69,86.75,24.14,1521.61
Dilshad Garden,33751,21804,90.93,21.48,97.11,16.84,2003.68
Kamla Nagar,92014,75196,78.71,47.3,89.63,23.29,3950.94
Kamla Nagar,107740,172851,52.55,62.23,71.31,32.56,3309.4
Lajpat Nagar,132542,199184,94.53,61.7,96.48,31.46,4213.04
Mayur Vihar,172975,196816,82.68,32.44,94.48,20.99,8241.58
Chandni Chowk,386003,181497,10.04,60.18,77.37,9.76,39555.33
Rajendra Place,30075,170091,86.94,43.02,83.2,34.88,862.21
Lajpat Nagar,373349,37639,76.25,89.23,95.51,17.55,21267.51
Green Park,85688,31922,88.04,40.13,94.38,17.17,4989.32
Karkardooma,56348,99039,36.31,76.77,92.05,21.87,2576.7
Greater Kailash,143237,131565,44.02,27.53,88.36,15.48,9255.04
Patel Nagar,370718,159852,60.13,23.45,97.2,34.43,10765.83
Rajendra Place,373598,133613,73.2,55.51,70.78,1.04,359066.99
Chandni Chowk,419760,114586,51.09,81.52,86.18,8.61,48755.35
Patel Nagar,90387,197448,90.16,64.42,78.36,14.99,6030.19
Vasant Kunj,313177,82406,26.27,80.45,82.71,33.23,9425.04
Sangam Vihar,491624,163317,21.18,45.72,71.74,19.38,25372.6
Model Town,426078,40821,30.77,44.93,78.23,10.53,40445.18
Malviya Nagar,212358,109317,22.58,54.61,73.31,11.43,18583.93
Chandni Chowk,271914,129446,7.99,85.08,89.39,33.61,8090.47
Karol Bagh,365507,84210,12.97,70.75,98.4,6.24,58544.73
Karkardooma,202971,178892,88.12,67.59,97.25,8.07,25159.61
Mukherjee Nagar,171784,21318,60.11,74.92,75.41,19.69,8722.35
Rohini,142166,179197,54.39,82.71,79.67,4.42,32188.98
Dilshad Garden,280837,40064,61.92,48.46,74.65,15.55,18057.8
Rajouri Garden,44435,179061,59.09,33.57,77.21,31.0,1433.38
Rohini,341392,29276,57.85,33.59,70.66,6.76,50504.65
Vivek Vihar,408942,20467,57.21,38.16,91.58,28.46,14370.8
Patel Nagar,133718,130707,47.37,64.39,88.21,5.58,23981.49
Mukherjee Nagar,309248,178284,69.14,29.0,91.66,24.43,12660.03
